artistName,Genre,showDate,HolidayStatus,venue name,venue city,venue state,venue country,venue postalCode,merch category,productType,product size,attendance,product price,temperature_daily_mean,rain,snowfall,spotifyMonthlyListeners,Instagram,venue capacity,spotifyMissing
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Est. 1975 Guitar T-Shirt,T-Shirt,3XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,This Girl Loves Her Air Supply T-Shirt,T-Shirt,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Bling Logo Tank,Tank Top,S,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Bling Logo Tank,Tank Top,M,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Bling Logo Tank,Tank Top,L,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Bling Logo Tank,Tank Top,XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Bling Logo Tank,Tank Top,2XL,720,40.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Hoodie,Sweatshirt,S,720,75.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Hoodie,Sweatshirt,M,720,75.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Hoodie,Sweatshirt,L,720,75.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Hoodie,Sweatshirt,XL,720,75.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Hoodie,Sweatshirt,2XL,720,75.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,Balloon Arch Hoodie,Sweatshirt,3XL,720,75.0,15.0,0.0,0.0,9197653,347,900,0
Air Supply,Pop,2026-04-30,0,MSU Riley Center,Meridian,,United States,,"LIGHT DENIM, BANNER PATCH JACKET",Jacket,S,720,150.0,15.0,0.0,0.0,9197653,347,900,0
